S: Lateral Number,EQPID,CHAMBER,최소,최대,S: Module Name,S: idx,S: Name,S: Division,S: Subdivision 1,S: Subdivision 2,S: Con Subdivision 1,S: Con Subdivision 2,S: BIM Design Info,S: BIM (Instance) ID,S: Library Path,S: Connector Name,S: Shape,S: Utility,S: Utility Group,S: Length,S: Size,Status,S: GUID,S: Connector GUID,S: Tag,S: Connector Tag,S: Connector Position X,S: Connector Position Y,S: Connector Position Z,설비poc,pump poc,1,S: Flow,S: Connection Tag,S: Destination,S: Destination Tag,S: Destination Connector Tag,S: Destination ID,S: Construction Code,S: Destination Construction Code,S: Connected Utility,S: Connected Material,T: Lateral Number,T: Module Name,T: idx,T: Name,펌프,설비,설비/펌프,T: Tag,T: GUID,T: Division,T: Subdivision 1,T: Subdivision 2,T: Con Subdivision 1,T: Con Subdivision 2,T: BIM Design Info,T: BIM (Instance) ID,T: Position,T: Connector Name,T: Utility,T: Utility Group,T: Size,T: Connector Tag,T: Origin,T: Flow,T: Connection Tag,T: Destination,T: Destination Tag,T: Destination Connector Tag,T: Construction Code,T: Destination Construction Code,T: Connected Utility,T: Connected Material,S: Connector Use,T: Connector Use,S: POC No,T: POC No,S: Design Code,T: Design Code
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,DELP_KIYO-GX_P4H_[KIYO-GX_GBC-BTM_D1B]_CR01,Equipment,MAIN TOOL,ETCH,(none),(none),,2180193618,/P4-1 PJT/생산설비/MAIN TOOL/ETCH/LAM/KIYO-GX(D)/COMBINATION,40A_VACUUM LINE,Round,FORELINE,/5D-FORELINE,0 mm,40 mm,EQP,edca5f46-2039-42fc-bac3-4c168a5e8ee8,556161ea-ae7a-a736-b7d4-69eeceb8a8e5,ELP4240,,151849.844,63547.43,14963.487,TRUE,FALSE,TRUEFALSE,Open,,,,,,P4HWFE41-01,,40A_VACUUM LINE (FORELINE),40A_VACUUM LINE (SUS304 AP + HEATING JACKET),,,,,,설비,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-087] NRC CLAMP_CENTERING(FKM)_NW40_KF_ASSY,PlumbingComponent,CLAMP,NRC CLAMP,(none),(none),,887937540,/P4-1 PJT/퍼실리티/Component/진공/Centering,40A,Round,,,0 mm,40 mm,EQP,b49290da-517e-4ace-ab6a-d1709e2e9310,9ce59a47-b5d3-416a-2cdb-0818aa6ae67d,ELP4240,,151849.844,63547.43,14959.488,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,40A (FORELINE),40A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-058] KF FLANGE_SUS_40A,PlumbingComponent,FLANGE,SUS FLANGE,(none),(none),,3931447725,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_40A_pipe,Round,,,0 mm,40 mm,EQP,693c6bb7-e069-4af2-a550-638511fe79e8,e27b253d-3dcc-54fe-9ecf-14d0a458f882,ELP4240,,151849.875,63547.43,14939.487,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_40A_pipe (FORELINE),02_40A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-058] KF FLANGE_SUS_40A,PlumbingComponent,FLANGE,SUS FLANGE,(none),(none),,1121157550,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_40A_NRC clamp,Round,,,0 mm,40 mm,EQP,1b90ca96-4643-4bc3-80dc-1f910b42a4fb,6659d265-40b8-9de6-9842-aebd1523ecc6,ELP4240,,151849.875,63547.43,14719.492,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_40A_NRC clamp (FORELINE),01_40A_NRC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-087] NRC CLAMP_CENTERING(FKM)_NW40_KF_ASSY,PlumbingComponent,CLAMP,NRC CLAMP,(none),(none),,3074760571,/P4-1 PJT/퍼실리티/Component/진공/Centering,40A,Round,,,0 mm,40 mm,EQP,65bf5ad7-defa-4587-ba57-0c256b00532b,d2a7fd7c-170d-86d3-cd94-210be2c6a9d7,ELP4240,,151849.875,63547.43,14715.493,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,40A (FORELINE),40A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-134] DUAL BELLOWS TI_NW40_150L,PlumbingComponent,BELLOWS,KF BELLOWS,(none),(none),,3116725732,/P4-1 PJT/퍼실리티/Component/진공/Bellows,01_40A,Round,,,0 mm,40 mm,EQP,65cd37a0-e008-4209-9245-3cc0272dbc4d,95e41cd0-3879-d63d-bc1c-547617b42e21,ELP4240,,151849.875,63547.43,14565.493,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_40A (FORELINE),01_40A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-087] NRC CLAMP_CENTERING(FKM)_NW40_KF_ASSY,PlumbingComponent,CLAMP,NRC CLAMP,(none),(none),,1537747096,/P4-1 PJT/퍼실리티/Component/진공/Centering,40A,Round,,,0 mm,40 mm,EQP,e1066b51-f7ae-432b-bbd9-4d91031bb6e2,1a93b0b1-2af9-7aba-3966-2c4025d38d94,ELP4240,,151849.875,63547.43,14561.494,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,40A (FORELINE),40A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-058] KF FLANGE_SUS_40A,PlumbingComponent,FLANGE,SUS FLANGE,(none),(none),,531116284,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_40A_pipe,Round,,,0 mm,40 mm,EQP,091076d7-c1b8-4604-ac88-d761c2681a2f,7f4ed367-f4d1-ceaf-79bd-d60d82e22b7c,ELP4240,,151849.875,63547.43,14541.492,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_40A_pipe (FORELINE),02_40A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,1241456886,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,837562d1-f58a-424f-ad36-3fd12f039368,46e52ac7-3721-6711-9e68-27fd8cc5067f,ELP4240,,152150.016,63449.988,13842.422,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A_DC clamp (FORELINE),01_125A_DC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELP4240PM2,ELP4240,PM2,14963.487,2300,PM2,,[VAC-037] DC CLAMP_CENTERING(FKM)_125A_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,2034748900,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,5e4c8933-ee0b-4428-92f3-c9c4cd4195ff,bd68f177-dc25-8db6-3e17-3509c7c4610a,ELP4240,,152150.016,63449.988,13838.423,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A (FORELINE),01_125A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
