PUMP	125 mm	EMP	ELP4234		 145120.016 mm	 60050.332 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4234		 145120.016 mm	 59550.332 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4229		 145120 mm	 79348.461 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4229		 145120 mm	 79848.461 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4229		 145120 mm	 80348.461 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4232		 145120.016 mm	 66577.930 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4232		 145120.016 mm	 66077.930 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4232		 145120.016 mm	 65577.930 mm	 2300 mm	
PUMP	125 mm	EMP	ELP4234		 145120.016 mm	 58009.273 mm	 2300 mm	
PUMP	125 mm	EQP	ETO4307		 152150.016 mm	 86950.008 mm	 2300 mm	PM5
PUMP	125 mm	EQP	ETO4307		 152150.016 mm	 86450.008 mm	 2300 mm	PM6
PUMP	125 mm	EQP	ETO4307		 152150.016 mm	 87450.008 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ETO4307		 152150.016 mm	 87950.008 mm	 2300 mm	PM1
PUMP	125 mm	EQP	ELP4321		 145120.016 mm	 83577.930 mm	 2301 mm	PM2
PUMP	125 mm	EQP	ELP4321		 145120.016 mm	 84577.930 mm	 2301 mm	PM4
PUMP	125 mm	EQP	ELP4321		 145120.016 mm	 84077.930 mm	 2301 mm	PM3
PUMP	125 mm	EQP	ELP4230		 145120.016 mm	 73669.727 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ELP4230		 145120.016 mm	 74169.727 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4230		 145120.016 mm	 73169.727 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4233		 145120.016 mm	 63427.930 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4233		 145120.016 mm	 62427.930 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4233		 145120.016 mm	 62927.930 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ELP4231		 145120.016 mm	 69103.719 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4231		 145120.016 mm	 69603.719 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4231		 145120.016 mm	 70103.719 mm	 2300 mm	PM3
PUMP	125 mm	EQP	EPA4207		 145120.016 mm	 86955.531 mm	 2307 mm	PM1
PUMP	125 mm	EQP	EPA4207		 145120.016 mm	 86455.531 mm	 2307 mm	PM3
PUMP	125 mm	EQP	EPA4207		 145120.016 mm	 87455.531 mm	 2307 mm	PM2
PUMP	125 mm	EQP	ELP4241		 152150.016 mm	 59585.180 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ELP4241		 152150.016 mm	 60085.180 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4241		 152150.016 mm	 58065.180 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4236		 152150.016 mm	 80117.414 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4236		 152150.016 mm	 79117.414 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4236		 152150.016 mm	 79617.414 mm	 2300 mm	PM3
PUMP	125 mm	EQP	ELP4238		 152150.016 mm	 71524.164 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4225		 152150.016 mm	 82154.531 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4239		 152150.016 mm	 67150 mm	 2300 mm	PM2
PUMP	125 mm	EQP	ELP4239		 152150.016 mm	 66150 mm	 2300 mm	PM4
PUMP	125 mm	EQP	ELP4239		 152150.016 mm	 66650 mm	 2300 mm	PM3
