equip_id	 utility	 size	 pos_x 	 pos_y	 pos_z
EAP3526	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 69479.37	 37138.0
EAP3526	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 72017.37	 37138.0
EAP3526	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 70748.37	 37138.0
EAP3526	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 69712.53	 41325.0
EAP3526	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 70132.53	 41325.0
EAP3526	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 71958.44	 50003.7
EAP3526	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 71828.44	 50003.7
EAP3526	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 71958.44	 50003.7
EAP3526	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 70758.44	 50003.7
EAP3526	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 70888.44	 50003.7
EAP3526	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 70743.44	 50003.7
EAP3526	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195464.3 	 71372.52	 52511.94
EAP3526	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 197412.69 	 71242.77	 52788.07
EAP3526	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 196975.38 	 72236.69	 52788.07
EAP3526	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195896.17 	 72354.93	 52788.07
ETP3501	 산배기(ACID)	 [기본 사이즈] 25 mm	 208138.0 	 88803.64	 41339.5
ETP3501	 산배기(ACID)	 [기본 사이즈] 25 mm	 208138.0 	 89307.64	 41339.5
ETP3501	 산배기(ACID)	 [기본 사이즈] 100 mm	 206563.63 	 88120.44	 50103.77
ETP3501	 산배기(ACID)	 [기본 사이즈] 100 mm	 206552.37 	 88121.14	 50228.0
ETP3501	 산배기(ACID)	 [기본 사이즈] 100 mm	 206613.63 	 88120.44	 50007.7
ETP3501	 산배기(ACID)	 [기본 사이즈] 100 mm	 206668.63 	 88120.44	 50103.77
ETP3501	 산배기(ACID)	 [기본 사이즈] 49 mm	 208048.27 	 89750.96	 49992.0
ETP3501	 산배기(ACID)	 [기본 사이즈] 49 mm	 207178.28 	 89750.96	 49992.0
ETP3501	 산배기(ACID)	 [기본 사이즈] 49 mm	 207841.67 	 88484.93	 49992.0
ETP3501	 산배기(ACID)	 [기본 사이즈] 50 mm	 208690.16 	 88388.09	 49995.0
ETP3501	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 208769.4 	 90035.99	 52828.11
ETP3501	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 207802.98 	 90035.96	 52828.0
ETP3501	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 207120.55 	 88199.93	 52828.11
EAP3523	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 83938.37	 37138.0
EAP3523	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 81400.37	 37138.0
EAP3523	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 82669.37	 37138.0
EAP3523	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 85028.17	 41325.0
EAP3523	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 85448.17	 41325.0
EAP3514	 산배기(ACID)	 [기본 사이즈] 25 mm	 186549.0 	 73015.97	 41325.0
EAP3514	 산배기(ACID)	 [기본 사이즈] 25 mm	 186549.0 	 73435.97	 41325.0
