equip_id	 chamber	 size	 pos_x 	 pos_y	 pos_z
ELD3507	 PM1	 [기본 사이즈] 50 mm	189747.24	58458.51	50328
ELD3507	 PM2	 [기본 사이즈] 40 mm	189204.15	58921.66	50069.45
ELD3507	 PM4	 [기본 사이즈] 50 mm	189745.32	60013.39	50328
ELD3507	 PM3	 [기본 사이즈] 40 mm	189203.96	59547.8	50069.45
EAP3526	 C/B B	 [기본 사이즈] 50 mm	197081.51	71305.6	50102.48
EAP3526	 C/B A	 [기본 사이즈] 50 mm	196755.38	71981.3	50102.48
EAP3526	 C/B C	 [기본 사이즈] 50 mm	196007.35	72036.71	50102.48
ETO3568	 PM1	 [기본 사이즈] 40 mm	207834.74	76386.17	50193.1
ETO3568	 PM4	 [기본 사이즈] 40 mm	207242.19	75148.09	50193.1
ETO3568	 PM2	 [기본 사이즈] 40 mm	208704.74	76386.17	50193.1
ETO3568	 PM3	 [기본 사이즈] 40 mm	208112.19	75148.09	50193.1
ETP3501	 	 [기본 사이즈] 50 mm	208163	88384.53	50001.5
ETP3501	 	 [기본 사이즈] 40 mm	208646.92	89759.96	49998.5
ETP3501	 	 [기본 사이즈] 40 mm	207776.93	89759.96	49998.5
ETP3501	 	 [기본 사이즈] 40 mm	207243.02	88475.93	49998.5
EAP3516	 	 [기본 사이즈] 50 mm	185571.34	66975.95	50102.48
EAP3516	 	 [기본 사이즈] 50 mm	184823.3	67031.37	50102.48
EAP3516	 	 [기본 사이즈] 50 mm	185897.47	66300.25	50102.48
ELD3503	 PM3	 [기본 사이즈] 40 mm	189203.96	79698.35	50069.45
ELD3503	 PM4	 [기본 사이즈] 50 mm	189745.32	80163.94	50328
ELD3503	 PM2	 [기본 사이즈] 40 mm	189204.15	79072.2	50069.45
ELD3503	 PM1	 [기본 사이즈] 50 mm	189747.24	78609.06	50328
ETP3505	 	 [기본 사이즈] 50 mm	208162.97	70088.92	50001.5
ETP3505	 	 [기본 사이즈] 40 mm	207776.9	71464.35	49998.5
ETP3505	 	 [기본 사이즈] 40 mm	207243	70180.32	49998.5
ETP3505	 	 [기본 사이즈] 40 mm	208646.9	71464.35	49998.5
EAP3528	 C/B B	 [기본 사이즈] 50 mm	197081.51	63173.79	50102.48
EAP3528	 C/B C	 [기본 사이즈] 50 mm	196007.35	63904.91	50102.48
EAP3528	 C/B A	 [기본 사이즈] 50 mm	196755.38	63849.49	50102.48
EAP3522	 C/B B	 [기본 사이즈] 50 mm	197081.51	87089.58	50102.48
EAP3522	 C/B A	 [기본 사이즈] 50 mm	196755.38	87765.28	50102.48
