equip_id	 chamber	 size	 pos_x 	 pos_y	 pos_z	
ELD3507	 	 [기본 사이즈] 125 mm	189547.44	60700	37400	
ELD3507	 	 [기본 사이즈] 125 mm	189547.44	58037.1	37400	
ELD3507	 	 [기본 사이즈] 125 mm	189547.4387	59855.9672	37400	Utilty 미입력
ELD3507	 	 [기본 사이즈] 125 mm	189547.4387	59355.9671	37400	Utilty 미입력
EAP3526	 	 [기본 사이즈] 125 mm	197072	72443.13	37400	
EAP3526	 	 [기본 사이즈] 125 mm	197072	71943.13	37400	
EAP3526	 	 [기본 사이즈] 125 mm	197071.99	69887.14	37400	
ETO3568	 	 [기본 사이즈] 125 mm	207860	74950	37400	
ETO3568	 	 [기본 사이즈] 125 mm	207860	74450	37400	
ETO3568	 	 [기본 사이즈] 125 mm	207860	73950	37400	
ETO3568	 	 [기본 사이즈] 125 mm	207860	75450	37400	
ETP3501	 	 [기본 사이즈] 125 mm	207860	89900.09	37400	
ETP3501	 	 [기본 사이즈] 125 mm	207860	90400.09	37400	
ETP3501	 	 [기본 사이즈] 125 mm	207860	87579.3	37400	
ETP3501	 	 [기본 사이즈] 125 mm	207860	88079.3	37400	
EAP3523	 	 [기본 사이즈] 125 mm	197072	84443.13	37400	
EAP3523	 	 [기본 사이즈] 125 mm	197072	83943.13	37400	
EAP3523	 	 [기본 사이즈] 125 mm	197071.99	81887.14	37400	
EAP3516	 	 [기본 사이즈] 125 mm	185850	66150	37400	
EAP3516	 	 [기본 사이즈] 125 mm	185850	66650	37400	
EAP3516	 	 [기본 사이즈] 125 mm	185850	67150	37400	
ELD3503	 	 [기본 사이즈] 125 mm	189547.44	81102.43	37400	
ELD3503	 	 [기본 사이즈] 125 mm	189547.44	78652.45	37400	
ELD3503	 	 [기본 사이즈] 125 mm	189547.4387	80141.5533	37400	Utilty 미입력
ELD3503	 	 [기본 사이즈] 125 mm	189547.4387	79641.5532	37400	Utilty 미입력
ETP3505	 	 [기본 사이즈] 125 mm	207860	69579.3	37400	
ETP3505	 	 [기본 사이즈] 125 mm	207860	70079.3	37400	
ETP3505	 	 [기본 사이즈] 125 mm	207860	71900.09	37400	
ETP3505	 	 [기본 사이즈] 125 mm	207860	72400.09	37400	
EAP3528	 	 [기본 사이즈] 125 mm	197072	63950	37400	
EAP3528	 	 [기본 사이즈] 125 mm	197072	62950	37400	
EAP3528	 	 [기본 사이즈] 125 mm	197072	63450	37400	
EAP3522	 	 [기본 사이즈] 125 mm	197072	87450	37400	
EAP3522	 	 [기본 사이즈] 125 mm	197072	86450	37400	
EAP3522	 	 [기본 사이즈] 125 mm	197072	86950	37400	
EAP3527	 	 [기본 사이즈] 125 mm	197072	67650	37400	
EAP3527	 	 [기본 사이즈] 125 mm	197072	66650	37400	
EAP3527	 	 [기본 사이즈] 125 mm	197072	67150	37400	
EAP3518	 	 [기본 사이즈] 125 mm	185850	59992.01	37400	
EAP3518	 	 [기본 사이즈] 125 mm	185850	60492.01	37400	
EAP3518	 	 [기본 사이즈] 125 mm	185850	58078.79	37400	
ETO3569	 	 [기본 사이즈] 125 mm	207860	85150	37400	
ETO3569	 	 [기본 사이즈] 125 mm	207860	84650	37400	
ETO3569	 	 [기본 사이즈] 125 mm	207860	84150	37400	
ETO3569	 	 [기본 사이즈] 125 mm	207860	85650	37400	
EAP3529	 	 [기본 사이즈] 125 mm	197071.99	57887.14	37400	
EAP3529	 	 [기본 사이즈] 125 mm	197072	60443.13	37400	
EAP3529	 	 [기본 사이즈] 125 mm	197072	59943.13	37400	
EAP3525	 	 [기본 사이즈] 125 mm	197072	75950	37400	
EAP3525	 	 [기본 사이즈] 125 mm	197072	74950	37400	
EAP3525	 	 [기본 사이즈] 125 mm	197072	75450	37400	
EAP3514	 	 [기본 사이즈] 125 mm	185850	74950	37400	
EAP3514	 	 [기본 사이즈] 125 mm	185850	73950	37400	
EAP3514	 	 [기본 사이즈] 125 mm	185850	74450	37400	
ESP3504	 	 [기본 사이즈] 125 mm	200760	79405.67	37400	
ESP3504	 	 [기본 사이즈] 125 mm	200760	79905.67	37400	
ESP3504	 	 [기본 사이즈] 125 mm	200760	80405.67	37400	
EAP3520	 	 [기본 사이즈] 125 mm	185850	85951.79	37400	
EAP3520	 	 [기본 사이즈] 125 mm	185850	86451.79	37400	
EAP3520	 	 [기본 사이즈] 125 mm	185850	86951.79	37400	
ELO3511	 	 [기본 사이즈] 125 mm	200760	59473.19	37401	
ELO3511	 	 [기본 사이즈] 125 mm	200760	59973.19	37401	
ELO3511	 	 [기본 사이즈] 125 mm	200760	58069.49	37400	
ELD3504	 	 [기본 사이즈] 125 mm	189547.44	71660.89	37400	
ELD3504	 	 [기본 사이즈] 125 mm	189547.44	74362.89	37400	
ELD3504	 	 [기본 사이즈] 125 mm	189,547.44	72,650.00	37,400	Utilty 미입력
ELD3504	 	 [기본 사이즈] 125 mm	189,547.44	73,150.00	37,400	Utilty 미입력
ESP3506	 	 [기본 사이즈] 125 mm	200760	72410.67	37400	
ESP3506	 	 [기본 사이즈] 125 mm	200760	71910.67	37400	
ESP3506	 	 [기본 사이즈] 125 mm	200760	71410.67	37400	
ESP3502	 	 [기본 사이즈] 125 mm	200760	87005.67	37400	
ESP3502	 	 [기본 사이즈] 125 mm	200760	87505.67	37400	
ESP3502	 	 [기본 사이즈] 125 mm	200760	88005.67	37400	
ELD3505	 	 [기본 사이즈] 125 mm	189547.44	68111.33	37400	
ELD3505	 	 [기본 사이즈] 125 mm	189547.44	65661.35	37400	
ELD3505	 	 [기본 사이즈] 125 mm	189547.4387	67150.453	37400	Utilty 미입력
ELD3505	 	 [기본 사이즈] 125 mm	189547.4387	66650.4529	37400	Utilty 미입력
EMA3504	 	 [기본 사이즈] 125 mm	207860	58066.7	37410	
EMA3504	 	 [기본 사이즈] 125 mm	207860	59655.15	37410	
EPA3511	 	 [기본 사이즈] 125 mm	189547.44	88100.6	37409.95	
EPA3511	 	 [기본 사이즈] 125 mm	189547.44	89439.7	37407	
EPA3511	 	 [기본 사이즈] 125 mm	189547.44	89939.7	37407	
ELO3510	 	 [기본 사이즈] 125 mm	200760	63449.82	37401	
ELO3510	 	 [기본 사이즈] 125 mm	200760	62449.82	37401	
ELO3510	 	 [기본 사이즈] 125 mm	200760	62949.82	37401	
EAP3521	 	 [기본 사이즈] 125 mm	185850	81101.79	37400	
EAP3521	 	 [기본 사이즈] 125 mm	185850	81601.79	37400	
EAP3521	 	 [기본 사이즈] 125 mm	185850	82101.79	37400	
EAP3515	 	 [기본 사이즈] 125 mm	185850	71992.01	37400	
EAP3515	 	 [기본 사이즈] 125 mm	185850	72492.01	37400	
EAP3515	 	 [기본 사이즈] 125 mm	185850	70078.79	37400	
EAP3513	 	 [기본 사이즈] 125 mm	185850	78151.79	37400	
EAP3513	 	 [기본 사이즈] 125 mm	185850	78651.79	37400	
EAP3513	 	 [기본 사이즈] 125 mm	185850	79151.79	37400	
EAP3524	 	 [기본 사이즈] 125 mm	197072	79650	37400	
EAP3524	 	 [기본 사이즈] 125 mm	197072	78650	37400	
EAP3524	 	 [기본 사이즈] 125 mm	197072	79150	37400	
ETO35N2	 	 [기본 사이즈] 50 mm	205283.83	63411.13	49202.5	
ETO35N2	 	 [기본 사이즈] 125 mm	207860	61928.95	37406.5	
ETO35N2	 	 [기본 사이즈] 125 mm	207860	61428.95	37406.5	
ETO35N2	 	 [기본 사이즈] 125 mm	207860	62928.95	37406.5	
ETO35N2	 	 [기본 사이즈] 125 mm	207860	62428.95	37406.5	
ELD3502	 	 [기본 사이즈] 125 mm	189547.44	82094.88	37400	
ELD3502	 	 [기본 사이즈] 125 mm	189547.44	84003.25	37400	
ELD3502	 	 [기본 사이즈] 125 mm	189547.44	83503.25	37400	
ELD3502	 	 [기본 사이즈] 125 mm	189547.44	85100	37400	
ETO35N1	 	 [기본 사이즈] 125 mm	207860	66650	37406.5	
ETO35N1	 	 [기본 사이즈] 125 mm	207860	66150	37406.5	
ETO35N1	 	 [기본 사이즈] 125 mm	207860	67650	37406.5	
ETO35N1	 	 [기본 사이즈] 125 mm	207860	67150	37406.5	
ETO35N1	 	 [기본 사이즈] 50 mm	205281.71	68088.08	49202.5	
ESP3503	 	 [기본 사이즈] 125 mm	200760	83410.67	37400	
ESP3503	 	 [기본 사이즈] 125 mm	200760	83910.67	37400	
ESP3503	 	 [기본 사이즈] 125 mm	200760	84410.67	37400	
ESP3505	 	 [기본 사이즈] 125 mm	200760	75940	37400	
ESP3505	 	 [기본 사이즈] 125 mm	200760	75440	37400	
ESP3505	 	 [기본 사이즈] 125 mm	200760	74940	37400	
EAP3519	 	 [기본 사이즈] 125 mm	185850	90151.79	37400	
EAP3519	 	 [기본 사이즈] 125 mm	185850	90651.79	37400	
EAP3519	 	 [기본 사이즈] 125 mm	185850	91151.79	37400	
ELD3506	 	 [기본 사이즈] 125 mm	189547.44	61618.85	37400	
ELD3506	 	 [기본 사이즈] 125 mm	189547.44	63960.87	37400	
ELD3506	 	 [기본 사이즈] 125 mm	189547.4387	62980.0001	37400	Utilty 미입력
ELD3506	 	 [기본 사이즈] 125 mm	189547.4387	62480	37400	Utilty 미입력
EMA3503	 	 [기본 사이즈] 125 mm	189547.44	69969.98	37400	
EMA3503	 	 [기본 사이즈] 125 mm	189547.44	69469.98	37400	
ELE3509	 	 [기본 사이즈] 125 mm	185850	62950	37400	
ELE3509	 	 [기본 사이즈] 125 mm	185850	62450	37400	
ELE3509	 	 [기본 사이즈] 125 mm	185850	61950	37400	
ESP3501	 	 [기본 사이즈] 125 mm	200760	91950	37400	
ESP3501	 	 [기본 사이즈] 125 mm	200760	92450	37400	
ESP3501	 	 [기본 사이즈] 125 mm	200760	92950	37400	
ELO3509	 	 [기본 사이즈] 125 mm	200760	67649.82	37401	
ELO3509	 	 [기본 사이즈] 125 mm	200760	66649.82	37401	
ELO3509	 	 [기본 사이즈] 125 mm	200760	67149.82	37401	
EPA3509	 	 [기본 사이즈] 125 mm	189547.44	77754.84	37409.95	
EPA3509	 	 [기본 사이즈] 125 mm	189547.44	75316.37	37407	
EPA3509	 	 [기본 사이즈] 125 mm	189547.44	75816.37	37407	
EMA3502	 	 [기본 사이즈] 125 mm	189547.44	86500	37400	
EMA3502	 	 [기본 사이즈] 125 mm	189547.44	86000	37400	
EPA3510	 	 [기본 사이즈] 125 mm	197072	90150	37407	
EPA3510	 	 [기본 사이즈] 125 mm	197072	90650	37407	
EPA3510	 	 [기본 사이즈] 125 mm	197072	91150	37407	
EPA3530	 	 [기본 사이즈] 125 mm	207860	79450	37407	
EPA3530	 	 [기본 사이즈] 125 mm	207860	79950	37407	
EPA3530	 	 [기본 사이즈] 125 mm	207860	80450	37407	
